,clean_text,airline_sentiment
3930,united stop pretending care welfare daughter united airlines opportunity help n failed united airlines,0
3931,united received one previously th checked odd said complaint associated e mail,0
3932,united ok pretty sure wait see happens,0
3933,united checking tracing information got numbers wrong phone number amp turquoise duffle bag become black laptop bag,0
3934,united treats service members like crap never flying unitedairlines cnn,0
3935,united thanks ua den min tarmac,1
3936,united point upc code checked baggage tell luggage vacation day trying swimsuits,0
3937,united sfo gt bos nonstop flights competitively priced jetblue virgin vs identical times,0
3938,united come baggage updates,0
3939,united thanks response bags came long wait priority tags honored disappointing,0
3940,united unitedairlines hits keep coming http co zhmfdiw unitedfail unitedwithivy,0
3941,united hi jh yes please since lost almost whole day way could help change return one day late flightr,0
3942,united hrs searching flts find site amp book offered bc seg really available lies falseadvertising,0
3943,united next flight think spending anymore money guys ever bad,0
3944,united bags yet palm springs airport lax come beat bags,0
3945,united changed tire delayed ua flight arrived instead waiting boarding,0
3946,united generic form tons fields asking info already expected premier platinum another servicefail,0
3947,united wtf username email addr signin still unavailable trying login since sunday,0
3948,united flying msp dxb child turn trip buy return ticket child,1
3949,united want bags vital equipment royally screwing cranky want update,0
3950,united guys big hearts keep good work,2
3951,united flight sime rudest flight attendants run drink card flashlight dropped noapology,0
3952,united disappointed silverairways partner communication extremely late flight flights really around horrible,0
3953,united unless guys im good,0
3954,united miles going restructured help silver status brotha thought winning guys today lol,0
3955,united even multiplier ticket price still never equal amount miles travel even transatlantic flights,1
3956,united missed connection wrong city bags palm springs hotel seriously tired treated way,0
3957,united bags lax like promised things today mess today,0
3958,united dang thought teleportation device ua,0
3959,united received bag appreciate taking care matter following,2
3960,united still received response please direct message contact information,0
3961,united waiting bag iah mins freaking people flight waiting bags fix,0
3962,united game one reason payed directv something could work http co hqdtk atue,1
3963,united take note great example jetblue actually making good extremely inconvenient situation http co gnk n ld,2
3964,united rtb gt iah first class wife global services headaches due neighbors smoking e cigarettes contact pls,0
3965,united federal regulation prohibits separated bag yet lose bag okay,0
3966,united tried check mins flight rather mins stonewalled employees,0
3967,united hello wondering long might take turkish airlines flights show united miles thanks,1
3968,united guys working planes,0
3969,united almost major accident ua passing information us waiting plane,0
3970,united said go take time go knowing issue knowing fix,0
3971,united hour delay plus jetway move biz traveler never flying u,0
3972,united son passenger flight chicago toronto plane came within feet colliding another plane stopped,0
3973,united made mad called bag number person helpful told bag really,2
3974,united yes airport person told bag still nashville filed claim,0
3975,united thing fella done right today get pacific time zone,2
3976,united ugh bags sent palm springs lax promised better hotel get,0
3977,united direct messaged hear anything back,0
3978,united yup happens way often times last months,0
3979,united great thank send,1
3980,united handle bag issues put onto first place,0
3981,united big pilot turning hr tarmac min delayed arrival,2
3982,united returned vacation went luggage services golf bag presented clear wrap could used first place,1
3983,united holiday lifetime new york ruined lost luggage failed find since sunday wontflyagainwithyou,0
3984,united golf bag top cover staffers said check without type cover wrap forced leave bag,0
3985,united offer real food american clubs like amazing food offer heathrow,0
3986,united bag lost travel united please something,0
3987,united annricord,1
3988,united stuck plane hour due mechanical faults updates please happened way newark lhr,0
3989,united flight unfortunately isolate flightd incident waited less min years,0
3990,united mention one bag infant car seat amp stuck yr poor replacement icy mtn roads,0
3991,united ur hemispheres magazine open u make flight pleasant http co vrqdpqepfw,0
3992,united hard believe since staff sfo checked someone name ritacomo flew ewr day,0
3993,united late flight tired understandably edgy trying catch flight chipper def rude,0
3994,united rude cust ser agents busy chatting yelled bc took pic put stdby seat diff agent gave seat min late flightr platinum,0
3995,united frequent user congrats u lost bags years problem today staff rude still bag,0
3996,united sivi stewart lax fantastic tonight helping find lost item us airport much thanks,2
3997,united yes though located bag yet lovely flight outside,0
3998,united got home amid snow amp cancelled flightlations delivered bag w hassle plus wait phone amp upgrade thank,2
3999,united wife phone several times past days result,0
4000,united saying customer care report anyone response humiliating company serves public,0
4001,united unitedairlines feedback benefit correct atrocious customer service good know,0
4002,united unitedairlines fill form never receive response expect remedy travel another airline cancelled flight members w u,0
4003,united ewr lax ua seat armrest broken discover takeoff flight full fa filed report chat partial refund,0
4004,united told go knowing issue go find fix,0
4005,united made way airport say fix handle showed problem said go,0
4006,united link tweet goes someone internal email gt http co zksx itdn probably one rd party contracts,1
4007,united bother responding customer service worst never using guys,0
4008,united flight houston,1
4009,united free hotel make poor customer service disregard,0
4010,united messed refuse wait min united fault delay leave early absolutely disgusting,0
4011,united mechanical delay occurred houston earlier today flight ord,0
4012,united ord roc fam came see sna member dad used miles,1
4013,cc dadboner boldflavors united bringing bourbon st ft bold flavors fresh ingredients dining options,2
4014,united thx checking never got via phone hold hour long long wait hold ugh csfail,0
4015,united referral program milageplus explorer card,1
4016,united else would know denied,0
4017,united obviously,1
4018,united allow shady rd party services sell tickets refuse help customer left holding bag flyunited,0
4019,united hours phone hung want different flight day open seat greatservice,0
4020,united maintenance issues undetermined amount time mechanics even arrive,0
4021,united sent email describing experience looking forward follow hopefully make right,1
4022,united chicago hometown airline care neighbors savethediagonals flyquiet ordnoise,2
4023,united annricord cost one round trip tickets,0
4024,united give cyndi amp troy gold star,2
4025,united flight attendant superben super helpful finding bag left flight today excellent customer service name fits,2
4026,united changing rno den non stop may late flight morning early afternoon,1
4027,united unitedairlines wont wait min fam w yr old connecting flight leaves early instead airport planes last stop today,1
4028,united go back airport working time telling seriously way,0
4029,united instead bourbon street quiet planes savethediagonals,1
4030,united denver supposed boarding right yet land,0
4031,united years never many issues airline,0
4032,united haha fine still fly united ever seems like guys problems anyone else,0
4033,united note traveling w yr old unreal,0
4034,united plane staying overnight next airport roc u make min air instead waiting u leave early,0
4035,united traveling guests mileage plus member using members miles great customer service,2
4036,united mechanical issues causes delay connecting plane ord needed wait min refused left early instead wtf,0
4037,united captain apologize delay company looking open gate glance starboard side see open gates,1
4038,united reinstating kosher meals dropped shortly merger,1
4039,united one jfk lax r u upgrading planes plane screens lousy seats unitedfirst,0
4040,united possible upfare p segment gpu waitlisted,1
4041,united bringing game premium cabin dining nice https co zgoqoxjbqy,2
4042,united already vomit halfway,0
4043,united amazing hard talk customer service,0
4044,united fair enough stinks passenger plane leaves gate sits tarmac hour takeoff,0
4045,united held flight group nearly people,0
4046,united guys suck delay flights hold connectors minutes worstairlineever,0
4047,united want plane dad,1
4048,united time rant delayed flight still forgot luggage delayed tarmac moments love united,0
4049,united international flight get new eta air,0
4050,united think rough moment w bad passenger earlier flight things got considerably better thanks,2
4051,united thanks rude customer service hour delay really helped timing wise afternoon meetings hello delta,0
4052,united useless response need functioning wheelchair customer care form fill,0
4053,united awesome thx thx replying damn fast sure hell beats cheeze hold music,2
4054,united cabin functionality mean taking customer satisfaction survey,1
4055,united cab ride dfw love got bag reimburse,0
4056,united gg unbelievable hypocrisy,0
4057,united thanks getting businessfirst priority tagged bag onto connecting flight ewr despite hour layover nice job,2
4058,united amazing flying miles unitedairlines amp alliance last year still got jilted status moneyelsewhere,2
4059,united top csr went ahead hung called united discuss,0
4060,united finally memphis landed minutes ago still bags paying service gets worse,0
4061,united thanks terrible experience ewr customers treated priority inconvenience tryagain,0
4062,united rd party service known ezee flights man confirmed born india told name steve wilson,1
4063,united third wheelchair broken http co tvk pyxqv,0
4064,united met customer service arrival flight ua pvd iad thanks guys really handled storm,2
4065,united ooh thanks,2
4066,united flight pm still airport gee service care nope delayed,0
4067,united disappointed cc purchased ticket online w voucher charge full amnt would hold price refund unacceptable,0
4068,united exactly states secure document nexus card state passport must always also presented read,0
4069,united told united carry carry back refund,1
4070,united leave work would possible would love replaced,1
4071,feel completely cheated united read commitment customer service via website def get service suggested,0
4072,united annricord agents said would refunded agents said united never sold us ticket,0
4073,united air traffic crew could get shit together one would notice rudeness ground staff,0
4074,united problems link thparty,0
4075,united feel well informed yes flight indeed delayed thank http co fuchzrzjg,0
4076,united pay coach plus told preboarding overhead bins full,0
4077,united get help changing ticket minutes hold counting,0
4078,united thanks help totally appreciate made super easy,2
4079,united told supervisor united disconnected customer support nobody address igiveup,0
4080,united mileageplus signup page broken,0
4081,united wifi tell family gonna late flight cause sit grounded plane past two hours,0
4082,united fyi continuous texts emails getting delay held captive tarmac helpful,0
4083,united late flight broke luggage handle paying new one http co nyvv x,0
4084,united friendly skies today hr weather delay sfo followed hr mechanical delay sitting plane nofun,0
4085,united customer service rep rude asked question turn got attitude jane help disgusted,0
4086,united see thread,0
4087,united poor old united never seem get response right,0
4088,united obviously staff ewr united otherwise seen ads friendly helpful ewr worst airport,0
4089,united also pre select seats sfo gt yyz flight canadian flight booking problems http co azltjhf lv,0
4090,united forelock guarantee fare fare amp seats,1
4091,united thanks,2
4092,hypocrisy rt united gg sorry able offer full refund exchange rate hoping kp,0
4093,united spend hotel weather delay weather something completely control,0
4094,united eventually approach bags like alaskaair get,0
4095,united nyc flight delayed miss connection sacramento chicago,0
4096,united said would give us refund days late flightr refund,0
4097,united know weight plane us sitting plane hrs convinced company safe flt,0
4098,united showed flight several hours early tried call amp hold min b f call disconnected,0
4099,united policy changed must advise time purchase choose vary airport want full refund,0
4100,united wanted cancelled flightled tickets special guess even united,0
4101,united flight booking problems without major problems bad,0
4102,united el ingeniero check baggage lose,0
4103,united hoping miss lax ito connection looking forward stuck lax overnight team,0
4104,united well perhaps could highlight stated travel canada amp usa united nexus,0
4105,united know two hours us sitting plane bags loaded planes weight,0
4106,united make hard fly delayed hour plane turning around amp heading back gate connection,0
4107,united serious firing needs happen hnl broke wheelchair loaned broke mine http co bt kyrbyj,0
4108,united call customer service course say theres nothing offer transfer disconnect line,0
4109,united submitted third time please check confirm receipt taken screen shots case disappears thanks,0
4110,united already rescheduled flight cancelled flightled hotel room paid,0
4111,united classic,0
4112,united elizabeth washington dulles hooked new connecting flight gate super pleased,2
4113,united thanks,2
4114,united economy plus cabin also qualifies premium cabin,1
4115,united flight ua sitting tarmac mins report input,0
4116,united rd party service use sell tickets ripped excellent service united offering,0
4117,united thanks,1
4118,united yesterday sorted,1
4119,united thanks advice helpful believe guys actually charge people fly united,0
4120,united issues united airlines please retweet paid full fight ticket given standby instead,0
4121,united tried log told e mail log currently available,0
4122,united gg cancelled flight tickets thousands people like exchange rate doublestandards,0
4123,united e mail address write account might less likely disappear,1
4124,united wasted mins filling online forms telling receive know happen time,0
4125,united amsterdam ewr,1
4126,united stuck iah waiting flight honolulu hours due maintenance issues could gotten new plane fail,0
4127,united unitedappeals gg kind hypocrisy cancelled flightling tickets bad exchange rate advantage united,0
4128,united entire problem never sent anything via email given flight booking problems number phone,0
4129,united calling number useless heading airport pick bags whole situation seems like real joke,0
4130,united get first class flights rebooked,0
4131,united gate agent club staff got priority standby next might minor disaster travelingwithsmallkids,1
4132,united sending posting complete details circumstances surrounding matter united airlines ashamed,0
4133,united hidden city forces crappy seat even though exit row available first leg support cannot fix,0
4134,united jt thanks help complete form back home,2
4135,united missed incoming time sat jetbridge driver missed min connection time flight,0
4136,united gg ladies gents united airlines,1
4137,united might dealing frustrated passenegers hope great day thank much amazing airline,2
4138,united allright last question power outlets flight available premium cabin include economy plus cabin,1
4139,united well la hr car ride dark palm springs technically maybe get bumped st class den phl friday,1
4140,united yes still need assistance flight home due change flight u made miss connections,0
4141,united believe follow order send dm,1
4142,united thanks would like apology full refund please confirm receive,0
4143,united hi email share details thanks frank postsecret com,1
4144,united got bad exchange rate want money back please refund without penalty,0
4145,united flight ua denver rmoug cheduled times show know ridiculous,0
4146,united using automated responses decency actually care respond,0
4147,united jt issue missed connections early gate closings zero concern customer service,0
4148,united thinking could say many nice things getting upgraded delayed flight ok,0
4149,united explain rewards us elite premiere k members,1
4150,united birthdays fianc amp want travel late flight april fave airline frontier http co uaywrr,1
4151,united resending confirmation code dm,1
4152,united dm details back started phone number reach reply either online phone,0
4153,united airlines ceo jeff smisek disloyal loyal workers http co cevy p b via huffpostbiz,1
4154,united guidelines say x x bag x x bit taller guidelines gonna problem,1
4155,united thank wish lady little rock told morning asked,2
4156,united claim number back iad baggage since phone call speak someone,0
4157,united think problems newark nj saturday due expected snow,1
4158,united got following united page,1
4159,united thank speedy response figured may something nature guys fine print haha,2
4160,united worst service ever,0
4161,united thanks attention would actually like make specific complaint customer service dca best option,0
4162,united believe united find someone simply check seat back missing passport loved united debating choice,0
4163,united furious firm disgrace despite efforts zero protect daughter alone night united,0
4164,united holy high speed internet batman speeds united club iad insanely fast thanks,2
4165,united website flight booking problems experience obnoxious upsell laden disaster anyone half brain,0
4166,united mrandyep like weeks flight creative,1
4167,united flt major delays bc ground crew slow flight crew terrific hours ground,0
4168,united sorry hate united get see family thursday,0
4169,united thanks timely service amp great staff getting wife cancun past week honeymoon,2
4170,united done thanks,2
4171,united currently standby lax hour ride palm springs long day starting snowy philly,1
4172,united customer service mileage plus customers disgrace spent min phone reset pin number luck,0
4173,united given flight booking problems reference number,1
4174,united changes way stick premiere k loyal customers make things harder loyal,0
4175,united thanks offer finally made destination albeit hours late flight,0
4176,united airlines cancelled flights oc fll flight today switch notice apology done flying unitedairlines,0
4177,united send another confirmation email,1
4178,united would super paid much attention actual fliers credit card holders,0
4179,united travel lot get still fave ewr cleveland w min layover connect dc best option come,0
4180,united pm bags still even courtesy toiletries kit flight experience expecting disappointed,0
4181,united airlines cancelled flights oc fll flight today switch notice apology done flying unitedairlines,0
4182,united sorry wrong link bag http co pzal wtrez thats one meant,1
4183,united flight lax iad back rows cleaned prior boarding gross find used tissues seat please,0
4184,united thank,2
4185,united take lesson virginamerica know treat customers,1
4186,united plus horrible seating poor customer service everywhere flown take away mileage program horrible,0
4187,united learn listen customers want want virginamerica asks customer want,0
4188,united customer service,0
4189,united priceless united stranded daughter hare united zero keep safe alone plastic chair h united air,0
4190,united hi updates,1
4191,united could tell bag would accepted personal item bring one carry bag plus http co u czplhl,1
4192,united finally cancelled flightled,0
4193,united link email offers u sent year buy transfer miles last expired http co zzps ywve,0
4194,united thanks finally made missed meetings,0
4195,united flight originally supposed leave pm amp leave nd time happened,0
4196,united supposedly delivery believe see,0
4197,united thank yes hoping speak someone directly appreciate link nonetheless,0
4198,united sure waited min yay,2
4199,united hi jh experience united entirely disgusting yes like assistance getting compensated bag,0
4200,united took picture thursday awesome http co ivgpzsjtkw,2
4201,united probably someone returned call email case number,0
4202,united even fit name first two lines yes please pass feedback big downgrade previous years,0
4203,expiring united offer buy transfer united mileageplus miles discount many offers year http co tz imqzlg,2
4204,united flight cancelled flightlations one due weather one mechanical paid hotel bag held transfer voucher compensation,0
4205,united got email reservations got cancelled flightled refunded nothing got refunded yet,0
4206,united offer flight cancelled flighted stranded away home work,0
4207,united really trying today,0
4208,united looks like settled going thx,2
4209,united flt two updates last minutes,1
4210,united busy taking needed get audition,0
4211,united never given one,1
4212,united quick response offering assistance lack follow really service expecting,0
4213,united stuck iad going hours waiting ferry flight nashville u tell arrive ridiculous,0
4214,united flt gate agent announcements unprofessional time go back delta,0
4215,united thanks kp please also mention quiche breakfast tandoori chicken dinner entrees accompaniments truly first class,2
4216,united flt departure time changed five times last minutes figure solution announce,0
4217,united bags still houston since friday still reimbursed baggage fee,0
4218,united tell,0
4219,united flight already cancelled flightled trying get home two days staff unhelpful,0
4220,united flight worse last flight attendants even know whether plane equipped power outlets seats,0
4221,united flight agent wandered pilots came looking went charge personal phone txting,0
4222,united waiting flight memphis incredibly rude gate agent waited departure time announce delay rude,0
4223,united see need spend extra bc ur equipment failure,0
4224,united need make changes reserved seats bought tickets error amp comp seats,0
4225,united power outlets seats hour flight california seriously airlines failing pathetic,0
4226,united thanks kp luckily transfer maintenance issues still delayed miss transfer,0
4227,united received e mails either inbox junk spam,1
4228,united could please send phone refunds department submitted claim email without success,0
4229,united person sitting denver three hours want get plane please let go home,0
4230,united flight delayed three hours pilot never showed,0
4231,united need get ric tonight ewr hrs,0
4232,united next flights miami another airline,0
4233,united super frustrating folks united ticket counter pittsburg honoring media rate unitedfail,0
4234,united minutes arrival bags people ua den ewr long wait ual rep comes,0
4235,united policy behind changing passengers seating assignments gate,1
4236,united karen found unhelpful rude called united time amp told could board karen would accept,0
4237,united crossed prior times carriers issue karen rude untrained unhelpful also spoke,0
4238,united nexus confirmed crossing via air car boat travel nexus,0
4239,united employee yelled employee stood others whispering pointing behind counter,0
4240,united refused boarding nexus nexus confirmed refused,0
4241,united good note employees encountered newark fabulous late flight connecting flight got,2
4242,united u lost bag would refund bag fee make sense yes already called cust svc said,0
4243,united yall tried little bitty plane flying boston hate little planes,0
4244,united good thing holding flight peeps late flight connecting flight still make destination time,2
4245,united q purchased ticket hawaii trip late flight march mean acquire miles based price distance flown,1
4246,united stay warm passing chicago next week,2
4247,united refund request functionality http co imdckodfx broken get time error,0
4248,united ny njairports newark land minutes early lose time waiting tarmac gate,0
4249,united giving direct flight iah honolulu rd attempt years rd delay meal voucher wow customer service,0
4250,united played bizarre safety video ever seen http co hlm oks xl,1
4251,united nearly hours late flightr still idea never fly united help,0
4252,united wi fi broken plane outage friday southwest get right every plane united,0
4253,united wifi onboard far superior pricing performance user perceived bandwidth late flightncy recent gogo experiences,2
4254,united second day amp attempt trying leave iad amp another plane delayed mechanical issues hour delayed,0
4255,united direct number call request refund telling valid changed ticket number site,1
4256,united plane coming delayed almost hours plane,0
4257,united fast enough excuse service big hubs outdated craft southwest wifi awful,0
4258,united thankful great service newark seats fixed seated daughter fab landing fort myers,2
4259,united mother flight delayed phl ord way nrt gate refused upgrade platinum blegh,0
4260,united late flight everyone braved weather passengers waiting flight crew really,0
4261,united miserable trip lost bag sat found mon lost shipping nd day ground tues might return flight home,0
4262,united spending afternoon mia fault lounge inconvenient,0
4263,united costumer service sucks waiting week response,0
4264,united way get copy feb edition hemisphere magazine flying,1
4265,united somehow think going stuck paying hotel room denver without winter clothes dime guess see,0
4266,united normally ask people put headphones toddlers maybe planes kid section near back,1
4267,united course need help dming ladies gents day solution hope best lax,0
4268,united confirmation number njv bp need email confirmation flight nyc sfo feb,1
4269,united changing mileageplus program winners losers http co otlzak airline travel loyalty rewards,1
4270,united brandi zabsonre denver deserves raise bringing delight terrible travel situation big ups http co tk aopdtsq,2
4271,united thank next flight durango driving farmington new mexico work hitting slopes durango,1
4272,united denied use rear facing car seat ua erj confirm actual policy,0
4273,united better hold flight tucson landed houston hour delay minor computer problem,0
4274,thx stand united rajuchinthala know frustrating appreciate patience try get way jh,1
4275,united roundtrip tickets nj dramatically cheaper virgin pretty pricey via united match,1
4276,united dropped luggage iad months ago repair damages heard anything since get back,0
4277,united thought thanks clarification,1
4278,united feck guys stop cancelled flightling flights ewr ric weather fine locations,0
4279,united ua rolling improvements think hoping catch soon meantime ana preference,1
4280,united flyana official pleasantly surprised find ana made major upgrades transpacific route flights planes service,2
4281,united step cancelled flight flight step notify customer step charge food try survive wait brilliant,0
4282,united need confirmation number give,1
4283,united besides small degree self interest take route several times year amp would hate situation,0
4284,united rebooked casleah split take different flights pilot ran hours frustrating,0
4285,united worries tweets make sure tag line fly friendly skies,2
4286,united jsumiyasu thankful united ground staff put last seat last flight home late flight still home,2
4287,united appreciate follow,2
4288,united gist flight attendant told,0
4289,united btw true remind flight staff checking even indicating meal prefer reservation,0
4290,united took aback response flight attendant put responsibility squarely back passenger shoulders,0
4291,united u cld explain disorganized inefficient company w surly obviously unhappy employees stays business,0
4292,united sat airport hrs still sitting gate sigh,0
4293,united actually consider might made mistake complain beyond indicated reservation,1
4294,united gold star united change flight miss connections accommodate much late flightr arrival time happy,0
4295,united first class cockup http co oh cfv dhr,0
4296,united day travel swag ijustwanttosleep,1
4297,united thank new club hare comfortable made difficult weather days proficient enjoyable,2
4298,united filled form sent link either,1
4299,united let get iah hnl direct weather delay sfo leg stop reactive proactive,0
4300,united bad coffee juice ok getphilz united terminal sfo airport http co sg iqqfvso,0
4301,united mot getting refund,0
4302,united nothing apparently flown w times last weeks experiences incl today clusterfucks,0
4303,united get name group sitting behind us think window seat overheard,0
4304,united know united club needs power moar power insufficient outlets roadwarrior ord,0
4305,united thrilled carry checked two nasty gate agents see entire empty bin boarded last,0
4306,united business usual meant dropping bully mentality fostering inspiration greater business employeerelations,0
4307,united ridiculous fly outdated anywhere much less btwn iah sfo power ports wifi personal entertainment torture,0
4308,united last night waited forever gate someone corporate dispatch forgot call crew unfriendlyskies,0
4309,united broken entertainment system hour nyc flight terrible cabin crew service online complaint form work hopeless,0
4310,united much cost check additional bag traveling newark glasgow thank,1
4311,united call work tell fault late flight,0
4312,united new apple cr pe amazing live ua really nice crew americanair biscuits ua needs http co gz gqdt jj,2
4313,united clicked link got confused http co xmaqcucwzl,1
4314,united officially worst delayed least helpful airline ever misfortune flying,0
4315,united items sentimental value heartbroken missing,0
4316,united even though technically land silver,1
4317,united still waiting reply,0
4318,united please see flight attendant enough room head bags carry save time,0
4319,wanted get bag benefit instead get pricing three tickets adding card mp visa option united,0
4320,united tried dm would go thru sure,0
4321,united link current status flights airports fly bwi ewr mco morning yet yet tell problems except see snow,0
4322,united like delays less one plane connect voucher,0
4323,united hope nicer flight time try things right sold tickets connetion,0
4324,united got gate iah time given seats closed flight know people arriving wait,0
4325,united yes waited line almost hour passengers left wanting wait past,0
4326,southwestair still waiting hit one hour,0
4327,southwestair although happy cancelled flighted flight home tomorrow phx atl dca happy easy rebook,0
4328,southwestair hello hold extremely long time confirmation amp get boarding pass tried numerous times,0
4329,southwestair teaching new travelers research budget amp save trip today http co qll r ep,1
4330,southwestair frustrated loooooong wait time speak live person cannot get boarding pass flight tomorrow,0
4331,southwestair still update text amp still response email fr sr feel like yr losing customer service care,0
4332,southwestair agents ones rude unhelpful prompted initial tweet easy fix,0
4333,southwestair wife group prev flight got bumped reason alone two kids least put group,0
4334,southwestair flight delayed hrs months pregnant amp supposed caring mom whose surgery upset,0
4335,southwestair thank much completely made things right,2
4336,southwestair love always get best deals,2
4337,southwestair follow send info,1
4338,southwestair hold min far trying book seat infant price increased meantime,0
4339,southwestair glassdoor best places work snagging overall notsurprising luvthem,1
4340,southwestair poor performance around paid express checkin weeks ago even leverage bullshit,0
4341,southwestair thx make right help meagan fouty brancato fl dfw gate preboard w kids b group please please,2
4342,southwestair update emergency landing jacksonville right parentsonboard,1
4343,southwestair hold minutes please help http co fx bijlxat,1
4344,southwestair develop ding chrome firefox browser extension would swell,1
4345,southwestair take u midway chicago march th april th make americanair get u fly ohare year round flypbi,1
4346,southwestair logically would think check people board could drove home time waiting,0
4347,southwestair thanks southwest saving trip sweetheart going miss seeing altonbrownlive thanks sohappy,2
4348,southwestair someone call back hold two times today min still gotten,0
4349,southwestair know suicide second leading cause death among teens,1
4350,southwestair never mind moved flight tomorrow thanks help,2
4351,southwestair needs wheelchair gate sure options,1
4352,southwestair managed get sorted phone good luck dealing snow texas,2
4353,southwestair grounded flights b c equipment problems amp rude wife traveling alone w young kids never,0
4354,southwestair promise unfollow,1
4355,southwestair dmed confirmation number,1
4356,southwestair oh look delayed flight additional half hour arriving officially five hours planned,0
4357,southwestair weather bc system outage hopefully everything goes smoothly thank follow,2
4358,southwestair belt issues rough day worst part traveling month old wait outside degree,0
4359,southwestair oh atlanta,1
4360,southwestair moved pm flight main concern luggage arriving told sw,0
4361,southwestair used always fly southwest,2
4362,southwestair got bags hours late flightr offer go pick taxi costs one way spent inconvenience,0
4363,southwestair thx expecting credit leg,0
4364,southwestair sure please follow,1
4365,southwestair appreciate getting gate issue figured grr plenty open gates yet sit wait tarmac,0
4366,southwestair sent,1
4367,southwestair minutes hold waiting ridiculous,0
4368,southwestair u seen messages past hour,0
4369,southwestair following,1
4370,southwestair thank awesome flights sweetheart got screwed flyfrontier managed scramble get sw plane today,2
4371,southwestair thanks much,2
4372,southwestair round trip tickets arrived auction post masters invitational thanks southwest http co mrfbjtepef,2
4373,southwestair went purchase flight began processing even minutes earlier points gone help,0
4374,southwestair upset luggage damaged rude employee laguardia airport help,0
4375,southwestair tv stream means get spend flight watching women world cup finals throwback bestflightever,2
4376,southwestair status bag check area ffl,1
4377,southwestair heavenlychc least enjoy free cocktail two,2
4378,southwestair agree rt news one airline fly away favorite dia newsbusiness http co wlainimy,2
4379,southwestair flight matters hell next get luggage properly transferred facepalm smh,0
4380,southwestair phone service sucks,0
4381,southwestair flight bwi delayed miss flight denver way find hold plane,1
4382,southwestair airport snow removal method keep good work folks cessna become http co pofsxojsy,2
4383,southwestair people exit row still supposed give verbal approvals never asked flight,0
4384,southwestair arrival delayed nearly hours yeah entire day airport idea stress less vacation fail,0
4385,southwestair oh company caused us lose entire day vacation cancun de boarded waiting another plane,0
4386,southwestair trying change reservation hold minutes online directed call help,0
4387,southwestair first call got dropped waited mins second ran time try late flightr way online,0
4388,southwestair yo trying make change reservation whenever select flight says unable price please help,0
4389,southwestair great de boarding perfectly plane shot fml plans screwed thanks nothing southwestair,0
4390,southwestair teyana taylor performing medusafridays free till http co qwfmoq dql http co kbb b fxmk themenofbusiness,1
4391,southwestair let us plane bc toilets done even work goes family vacay playa del carmen mexico neveragain,0
4392,southwestair thanks apology unfortunately one many bad experiences longer flying southwest,0
4393,southwestair told customer service customer relations extend expiration date unused travel funds,0
4394,southwestair smiles two hours ugh get vouchers inexcusable esp pre flight check ok,0
4395,southwestair flight birmingham tomorrow night reschedule earlier flight expected snow,1
4396,follow back dm southwestair,1
4397,southwestair horrible experience passenger size seat offered voucher christine c http co xzrk wvq,0
4398,southwestair rd time flying southwest two years another trip back mx october,1
4399,southwestair yes much looking forward using airlines future flights never,0
4400,southwestair need learn treat people respect little dignity fail,0
4401,southwestair redeem points packages magically gone time finally got felt like baitandswitch,0
4402,southwestair done,1
4403,southwestair think get faster response twitter call,0
4404,southwestair idea winter advisory posted atl tomorrow rather get phl tonight,1
4405,southwestair watch staff check passenger list twice first time forgot look ids brutal,0
4406,southwestair flight chi buf last night almost hour delay cuz someone got plane without pass sounds safe,0
4407,southwestair thx quick response action bf make good use voucher satisfied happycustomer,2
4408,southwestair nothing help us restore barely expired rapidrewards points,0
4409,southwestair rapid rewards program sold short lasttweetaboutthis still disappointed,0
4410,southwestair freezing plane,0
4411,southwestair airline people screwed boarding passes way back puerto vallarta horrible,0
4412,southwestair groupa group c never got sit next south west flight even honey moon,0
4413,southwestair flight atlanta getting cancelled flightled schedule phone hours rep bumping us,0
4414,southwestair due apparent water issue checked fine checks husband already deal first,0
4415,southwestair u lot pissed hungry tired people stuck midway hours scheduled departure inexcusable,0
4416,southwestair know lost baggage portal http co huclxluv h work mobile http co zr qpcr,0
4417,southwestair going charge wifi us solid make sure take length flight open page,0
4418,southwestair website reverted st flight minute delay changed reliable information,0
4419,southwestair swa helps hotel industry always book flights day need somewhere swa consistent cancelled flights delays,0
4420,southwestair unfortunately call answered service horrid swa role model finger pointing amp excuses disappointed,0
4421,southwestair barzegar charges tourists euros night stay tent village runs http co igsvzvrbbn,1
4422,southwestair please make sense companion promo set,1
4423,southwestair unfortunately even phone died chance grab oma san,1
4424,southwestair live atlanta cant enroll atlanta companion promotion error every time help also sent email thanks,1
4425,southwestair frustrating indeed especially one knows issue,0
4426,southwestair hold customer service may quicker rebooked trip lower fare difference go,0
4427,southwestair chantilly paris france,1
4428,southwestair thx responding,0
4429,southwestair booked flight phone never got confirmation email would go getting,0
4430,southwestair supposed take almost hours ago vacationfail frozenwater gettingimpatient theycouldatleastofferfreebooze,0
4431,southwestair come getting points buy rapid reward shopping site,0
4432,southwestair hey flying tampa denver today want know tv seats like jetblue,1
4433,southwestair carol thrower passengers fort lauderdale airport,1
4434,southwestair mins answer wife baby need get flight arrived hrs prior please help venetia crook,0
4435,southwestair wife month old might miss flight next direct pm mother law hold customer support,0
4436,southwestair flight fll atl wife traveling infant line check baggage people long due computer system crash,0
4437,southwestair thanks sent dm let know oyu need additional information,2
4438,southwestair hey friends phone list number ivr hangs multiple times sure proceed,0
